,ds,y
0,2019-01-06,71.0
1,2019-01-13,124.5
2,2019-01-20,172.5
3,2019-01-27,240.5
4,2019-02-03,169.5
5,2019-02-10,187.0
6,2019-02-17,144.0
7,2019-02-24,254.0
8,2019-03-03,239.5
9,2019-03-10,135.0
10,2019-03-17,147.5
11,2019-03-24,203.0
12,2019-03-31,156.5
13,2019-04-07,148.0
14,2019-04-14,211.0
15,2019-04-21,71.5
16,2019-04-28,169.0
17,2019-05-05,120.5
18,2019-05-12,174.5
19,2019-05-19,211.0
20,2019-05-26,131.0
21,2019-06-02,134.0
22,2019-06-09,140.5
23,2019-06-16,105.5
24,2019-06-23,65.5
25,2019-06-30,196.0
26,2019-07-07,138.5
27,2019-07-14,37.5
28,2019-07-21,131.5
29,2019-07-28,78.5
30,2019-08-04,140.5
31,2019-08-11,122.0
32,2019-08-18,98.5
33,2019-08-25,99.5
34,2019-09-01,122.5
35,2019-09-08,139.5
36,2019-09-15,186.5
37,2019-09-22,234.5
38,2019-09-29,168.0
39,2019-10-06,180.0
40,2019-10-13,184.5
41,2019-10-20,143.0
42,2019-10-27,250.5
43,2019-11-03,227.0
44,2019-11-10,200.5
45,2019-11-17,270.0
46,2019-11-24,182.5
47,2019-12-01,262.0
48,2019-12-08,257.0
49,2019-12-15,266.5
50,2019-12-22,313.0
51,2019-12-29,169.5
52,2020-01-05,154.0
53,2020-01-12,233.0
54,2020-01-19,261.0
55,2020-01-26,258.5
56,2020-02-02,247.0
57,2020-02-09,416.5
58,2020-02-16,294.0
59,2020-02-23,364.0
60,2020-03-01,182.5
61,2020-03-08,376.5
62,2020-03-15,305.5
63,2020-03-22,321.0
64,2020-03-29,46.0
65,2020-04-05,74.5
66,2020-04-12,50.0
67,2020-04-19,85.5
68,2020-04-26,192.5
69,2020-05-03,126.5
70,2020-05-10,177.5
71,2020-05-17,158.0
72,2020-05-24,97.5
73,2020-05-31,216.0
74,2020-06-07,151.5
75,2020-06-14,203.0
76,2020-06-21,201.0
77,2020-06-28,143.0
78,2020-07-05,131.5
79,2020-07-12,73.0
80,2020-07-19,170.5
81,2020-07-26,111.0
82,2020-08-02,121.5
83,2020-08-09,279.5
84,2020-08-16,131.5
85,2020-08-23,152.5
86,2020-08-30,183.0
87,2020-09-06,228.5
88,2020-09-13,147.5
89,2020-09-20,222.0
90,2020-09-27,148.0
91,2020-10-04,211.0
92,2020-10-11,156.5
93,2020-10-18,173.5
94,2020-10-25,232.0
95,2020-11-01,219.5
96,2020-11-08,234.0
97,2020-11-15,391.0
98,2020-11-22,228.5
99,2020-11-29,251.5
100,2020-12-06,298.5
101,2020-12-13,407.0
102,2020-12-20,315.5
103,2020-12-27,194.5
104,2021-01-03,184.0
105,2021-01-10,270.5
106,2021-01-17,182.5
107,2021-01-24,281.0
108,2021-01-31,260.5
109,2021-02-07,285.5
110,2021-02-14,305.0
111,2021-02-21,187.0
112,2021-02-28,276.5
113,2021-03-07,208.5
114,2021-03-14,277.5
115,2021-03-21,260.5
116,2021-03-28,134.5
117,2021-04-04,141.0
118,2021-04-11,171.5
119,2021-04-18,219.0
120,2021-04-25,198.0
121,2021-05-02,219.0
122,2021-05-09,213.0
123,2021-05-16,322.0
124,2021-05-23,267.5
125,2021-05-30,163.0
126,2021-06-06,187.0
127,2021-06-13,235.0
128,2021-06-20,237.5
129,2021-06-27,198.5
130,2021-07-04,243.5
131,2021-07-11,187.0
132,2021-07-18,251.0
133,2021-07-25,225.0
134,2021-08-01,331.0
135,2021-08-08,290.5
136,2021-08-15,301.0
137,2021-08-22,259.5
138,2021-08-29,240.0
139,2021-09-05,259.5
140,2021-09-12,354.0
141,2021-09-19,404.6
142,2021-09-26,326.0
143,2021-10-03,441.5
144,2021-10-10,283.0
145,2021-10-17,352.5
146,2021-10-24,306.5
147,2021-10-31,259.0
148,2021-11-07,372.5
149,2021-11-14,412.0
150,2021-11-21,354.5
151,2021-11-28,264.0
152,2021-12-05,428.0
153,2021-12-12,356.5
154,2021-12-19,390.0
155,2021-12-26,405.0
156,2022-01-02,190.0
157,2022-01-09,358.5
158,2022-01-16,388.0
159,2022-01-23,311.0
160,2022-01-30,283.5
161,2022-02-06,460.5
162,2022-02-13,259.5
163,2022-02-20,334.0
164,2022-02-27,411.0
165,2022-03-06,289.5
166,2022-03-13,310.5
167,2022-03-20,308.0
168,2022-03-27,280.5
169,2022-04-03,489.5
170,2022-04-10,413.5
171,2022-04-17,371.5
172,2022-04-24,465.5
173,2022-05-01,423.5
174,2022-05-08,532.5
175,2022-05-15,677.5
176,2022-05-22,463.5
177,2022-05-29,511.5
178,2022-06-05,591.0
179,2022-06-12,476.5
180,2022-06-19,521.0
181,2022-06-26,457.5
182,2022-07-03,494.0
183,2022-07-10,579.5
184,2022-07-17,713.5
185,2022-07-24,550.5
186,2022-07-31,1958.0
187,2022-08-07,529.5
188,2022-08-14,506.5
189,2022-08-21,505.0
190,2022-08-28,1884.0
191,2022-09-04,470.5
192,2022-09-11,584.5
193,2022-09-18,603.5
194,2022-09-25,515.5
195,2022-10-02,620.5
196,2022-10-09,414.5
197,2022-10-16,299.0
198,2022-10-23,426.0
199,2022-10-30,321.5
200,2022-11-06,334.0
201,2022-11-13,332.5
202,2022-11-20,332.0
203,2022-11-27,186.5
204,2022-12-04,194.5
